,Clusters,hsa_mir_375,hsa_mir_5698,hsa_mir_205,hsa_mir_149,hsa_mir_129_1,hsa_mir_129_2,hsa_mir_6510,hsa_mir_204,hsa_mir_944
TCGA-86-6562,C2,9631.894889,3.479809,40.670272,78.730687,0.326232,0.326232,2.609857,1.957393,8.808268
TCGA-86-6851,C2,19503.89354,24.856484,2036.54241,103.528462,0.241325,0.241325,28.95901,1.206625,1.930601
TCGA-86-7701,C2,99898.64911,7.255545,15.871504,7.482281,1.133679,0.453472,0,7.935752,1.58715
TCGA-86-7711,C3,172.273724,0.884968,127.730347,2.359914,0,0,0.294989,0,1.179957
TCGA-86-7713,C1,19267.44439,2.497441,576.596669,11.862844,1.560901,1.560901,0.31218,9.677584,8.116683
TCGA-86-7953,C3,12414.67603,2.904131,639.876865,26.863212,1.210055,3.388153,0.968044,17.908808,4.598207
TCGA-86-7954,C3,10791.94742,1.730235,1051.668277,12.426233,0.314588,0.629176,1.258353,3.775058,3.145882
TCGA-86-7955,C1,1501.512018,22.897115,6.465068,2.155023,0.538756,0.538756,1.077511,0.538756,67.344457
TCGA-86-8054,C1,477489.7144,3.747602,106.806666,3.955802,3.331202,3.331202,1.041001,7.078804,1.873801
TCGA-86-8055,C3,19622.17576,4.299788,3580.97557,48.232404,0.934737,1.308631,6.169261,1.308631,8.412629
TCGA-86-8056,C2,35287.65435,0.890405,205.683635,5.119831,0.445203,1.113007,31.164187,9.126655,3.561621
TCGA-86-8073,C3,6888.416787,20.926403,89.684586,146.271289,2.775951,1.708278,0.640604,8.541389,0.427069
TCGA-86-8074,C2,17705.17693,6.932462,5186.141547,72.130613,2.640938,1.815645,1.980703,2.971055,6.437286
TCGA-86-8075,C3,2326.889936,1.471039,1120.049309,65.90256,0.73552,1.765247,47.220361,2.206559,5.737053
TCGA-86-8076,C3,15416.23638,0.601453,301.728796,10.826149,7.217433,8.420338,0.801937,3.608716,1.002421
TCGA-86-8278,C2,17592.03536,1.538251,62.240021,13.725936,0.828289,0.946616,8.519547,0.946616,1.419924
TCGA-86-8279,C1,11706.24956,8.654068,891.63944,73.289138,1.352198,0.811319,1.081758,1.081758,0.540879
TCGA-86-8280,C3,22670.46027,19.207881,500.98168,12.614131,1.290082,1.290082,2.866848,3.153533,6.450408
TCGA-86-8281,C1,27172.84656,13.738051,52.238514,21.370301,3.561717,5.257772,1.696056,3.731322,1.696056
TCGA-86-8358,C1,379008.3146,2.350828,80.439192,15.229275,43.848047,45.483406,2.759667,10.73204,0.40884
TCGA-86-8359,C1,95076.53354,1.220375,16.322518,24.407504,1.220375,0.457641,0.762735,0.915281,0.152547
TCGA-86-8585,C3,2091.897609,0.154213,26.83304,7.248005,0.771064,0.771064,0.308426,2.313193,1.387916
TCGA-86-8668,C2,21883.70778,6.073305,30.511126,17.496902,0.867615,0.867615,58.56401,1.301422,13.014225
TCGA-86-8669,C1,102407.2939,6.224043,103.941521,1.452277,4.771766,6.224043,1.452277,7.67632,0.829872
TCGA-86-8671,C3,12053.26146,2.593717,376.08894,10.115496,1.037487,2.334345,4.409319,10.374867,1.037487
TCGA-86-8673,C2,51671.88638,21.22076,17.683966,39.788924,3.536793,2.652595,0,1.547347,0.22105
TCGA-86-A456,C2,15523.41804,6.739111,3.494354,4.742338,0.74879,0,0.249597,0,4.742338
TCGA-86-A4D0,C1,189180.0056,15.275742,16.393479,52.16107,0.745158,0,0,5.588686,0.745158
TCGA-86-A4JF,C2,32389.1352,3.255762,10.377742,10.988197,1.831366,1.017426,0.610455,3.459247,3.052277
TCGA-86-A4P7,C2,10444.62441,1.146249,52.345389,7.259579,1.719374,1.719374,3.62979,2.101457,0.764166
TCGA-86-A4P8,C3,8060.957358,1.55657,139.572447,8.042279,0.259428,0.518857,0,16.603414,0.778285
TCGA-90-6837,C3,15032.36085,1.033673,5.340643,17.916997,1.378231,1.895067,0.172279,7.924826,0.861394
TCGA-90-7766,C4,872.77208,0,20665.53723,161.816809,3.55341,3.006731,19.407084,1.366696,97.035418
TCGA-90-7767,C5,290.061925,0.411241,21997.13941,133.927458,212.474472,228.924109,27.690222,1.507883,81.562781
TCGA-90-7769,C5,32.94,0.374318,22514.86418,537.520906,6.363409,10.106591,16.095682,20.961818,376.938407
TCGA-90-A4ED,C4,121.415923,0.410189,20009.42614,255.752797,0.820378,0.820378,40.198515,4.717173,52.093994
TCGA-90-A4EE,C5,2053.392202,0,9878.17474,120.139963,2.336055,4.004665,20.690771,13.682607,45.052486
TCGA-90-A59Q,C3,3956.567379,0,11026.24619,124.352936,0.428803,1.715213,0.428803,0,5.574442
TCGA-91-6828,C2,149377.4124,1.784373,53.134668,12.88714,1.982637,1.586109,6.939229,1.982637,0.793055
TCGA-91-6829,C2,1945.024044,15.13809,5.584926,5.144011,1.175774,0.88183,2.645491,3.821265,0.440915
TCGA-91-6830,C3,13547.80516,0.254445,177.857165,82.440231,21.882283,19.973945,1.908339,6.488352,1.399448
TCGA-91-6831,C1,18749.35247,10.613127,87.095027,2.86386,0.842312,0.336925,0,1.853086,0.336925
TCGA-91-6835,C3,12740.13534,3.895139,164.677837,35.921841,5.193519,7.141089,12.983798,1.514776,1.081983
TCGA-91-6836,C2,5672.386835,19.273347,3.312606,65.348691,2.409168,2.710314,0.602292,1.50573,9.636673
TCGA-91-6840,C1,27033.77321,17.80475,1561.253989,347.363818,2.910392,2.739192,0.684798,1.283996,1.369596
TCGA-91-6847,C2,263.535233,0.870471,13897.29438,53.098759,1.088089,0.652854,3.264268,0.217618,18.279901
TCGA-91-6848,C5,962.32161,0.789219,83.394191,165.209943,6.050683,9.207561,0,7.102975,67.609801
TCGA-91-6849,C3,55948.43626,2.135405,140.42833,36.200207,8.33825,6.914646,0.203372,4.677555,5.796101
TCGA-91-7771,C2,19682.52242,0.418394,7.740294,4.602337,27.195629,28.869206,0,2.091971,0
TCGA-91-8496,C3,28131.91747,8.644581,6.627512,8.356429,0.720382,1.152611,1.152611,2.449298,2.305222
TCGA-91-8497,C3,115028.5662,1.852604,67.064273,21.86073,14.450313,16.302917,2.593646,3.519948,1.111563
TCGA-91-8499,C4,71848.05423,0.196617,11.20718,11.797032,1.37632,1.37632,0.196617,5.505282,0.196617
TCGA-91-A4BC,C3,20932.12767,2.23873,33.332206,14.924868,0.746243,1.243739,0,2.984974,0.746243
TCGA-91-A4BD,C3,19232.43988,4.413917,59.989146,7.022141,0.80253,0.200633,1.203796,1.404428,4.815182
TCGA-92-7340,C5,569.667912,0.176041,9870.869699,29.398808,0.176041,0.264061,12.674935,3.608836,76.313671
TCGA-93-7348,C3,17291.30593,2.895262,477.396452,62.087274,0.965087,0.965087,0.321696,8.685785,6.433914
TCGA-93-A4JN,C2,3923.026974,3.371953,28.661604,42.871979,2.167684,1.685977,4.094515,9.393299,0.963415
